customer_id,first_name,last_name,email,phone,signup_date,country,region,segment
CUST-000001,John,Gomez,john.gomez251@example.com,+1-428-342-2679,2023-07-18 19:51:22,Usa,Central,Consumer
CUST-000002,Ana,Garcia,ana.garcia239@example.com,+1-717-816-1434,2023-03-24 20:26:03,Canada,Central,Consumer
CUST-000003,Olivia,White,olivia.white829@example.com,+1-206-977-3615,2023-07-24 15:23:12,Mexico,East,Consumer
CUST-000004,Marta,Lopez,marta.lopez390@example.com,+1-299-567-6635,2022-07-09 21:58:51,Mexico,North,Corporate
CUST-000005,Sebastian,Lopez,sebastian.lopez81@example.com,+1-765-500-6925,2024-02-15 21:01:14,Canada,North,Consumer
CUST-000006,David,Anderson,david.anderson876@example.com,+1-438-303-7227,2022-06-13 10:07:14,Brazil,East,Consumer
CUST-000007,James,Davis,james.davis719@example.com,+1-899-863-2169,2023-07-01 22:10:40,Germany,South,Consumer
CUST-000008,David,Brown,david.brown389@example.com,+1-476-855-4598,2024-08-04 11:48:24,Spain,North,Consumer
CUST-000009,Luis,Thomas,luis.thomas275@example.com,+1-267-416-6155,2024-04-01 07:44:29,Germany,West,Consumer
CUST-000010,Olivia,Martinez,olivia.martinez143@example.com,+1-452-962-9830,2023-06-27 09:33:58,Germany,Central,Consumer
CUST-000011,Camila,Moore,camila.moore225@example.com,+1-341-721-9085,2024-01-12 03:18:35,Spain,North,Home Office
CUST-000012,Sofia,Brown,sofia.brown611@example.com,+1-265-594-7252,2024-05-14 21:41:44,Brazil,Central,Consumer
CUST-000013,Sebastian,Gomez,sebastian.gomez699@example.com,+1-749-968-5371,2022-08-23 23:20:12,Mexico,North,Consumer
CUST-000014,Carlos, Martin  ,carlos.martin977@example.com,+1-939-936-5315,2022-01-07 18:13:32,Spain,South,Consumer
CUST-000015,John,Anderson,john.anderson624@example.com,+1-403-356-7126,2024-11-05 05:52:54,Uk,Central,Home Office
CUST-000016,Andres,Thomas,andres.thomas20@example.com,+1-314-571-6038,,Usa,South,Home Office
CUST-000017,Maria,Garcia,maria.garcia836@example.com,+1-270-978-9727,2024-09-22 04:34:43,Canada,West,Home Office
CUST-000018,Carlos,Wilson,carlos.wilson894@example.com,+1-821-633-4470,2024-12-16 19:38:06,Spain,South,Corporate
CUST-000019,Lucia,Taylor,lucia.taylor922@example.com,+1-729-662-2982,2024-06-16 09:01:33,Canada,North,Consumer
CUST-000020,Camila,Thompson,,+1-425-207-2163,2023-04-17 22:58:39,Usa,South,Consumer
CUST-000021,Luis,Thomas,luis.thomas527@example.com,+1-443-485-8953,2022-05-26 07:48:00,Uk,South,Corporate
CUST-000022,Camila,White,camila.white249@example.com,+1-684-616-4119,2024-08-26 03:26:03,Usa,West,Consumer
CUST-000023,Diego,Martin,diego.martin690@example.com,+1-869-861-2612,2022-04-21 02:12:24,Brazil,East,Corporate
CUST-000024,John,Rodriguez,john.rodriguez195@example.com,+1-749-659-3296,2023-01-28 15:21:36,Canada,East,Consumer
CUST-000025,Maria,Martin,maria.martin52@example.com,+1-867-753-1241,2022-07-20 03:23:44,Spain,South,Consumer
CUST-000026,Mateo,Lee,mateo.lee886@example.com,+1-610-260-3697,2023-03-14 13:47:52,Usa,West,Consumer
CUST-000027,Olivia,Anderson,olivia.anderson714@example.com,+1-948-769-8973,2024-05-16 05:38:09,Canada,East,Consumer
CUST-000028,Luis,White,luis.white766@example.com,+1-521-258-1821,2022-05-05 21:16:09,Brazil,Central,Home Office
CUST-000029,Valentina,Brown,valentina.brown984@example.com,+1-720-282-4044,2022-04-27 02:29:41,Uk,North,Corporate
CUST-000030,David,Moore,david.moore965@example.com,+1-783-452-1651,2022-09-03 22:33:03,Usa,West,Corporate
CUST-000031,Camila,Perez,camila.perez958@example.com,+1-467-409-6147,2023-10-10 08:41:25,Mexico,West,Consumer
CUST-000032,Pedro,Martin,pedro.martin952@example.com,+1-969-274-1152,2023-10-10 16:41:08,Uk,Central,Home Office
CUST-000033,Maria,Thompson,maria.thompson519@example.com,+1-471-335-6718,2023-03-13 02:30:16,Canada,East,Consumer
CUST-000034,Olivia,Thompson,olivia.thompson627@example.com,+1-869-741-1128,2023-09-12 20:11:32,Mexico,North,Home Office
CUST-000035,Sofia,Wilson,sofia.wilson912@example.com,+1-309-960-3546,2022-08-25 09:54:57,Mexico,Central,Consumer
CUST-000036,Marta,Davis,marta.davis518@example.com,+1-700-457-1832,2023-06-25 03:21:37,Germany,West,Corporate
CUST-000037,Luis,Gomez,luis.gomez790@example.com,+1-333-852-5291,2023-11-15 05:52:58,Germany,West,Consumer
CUST-000038,Diego,Thompson,diego.thompson115@example.com,+1-277-907-3442,2022-01-20 19:51:51,Usa,East,Consumer
CUST-000039,Sofia,Jackson,sofia.jackson43@example.com,+1-515-573-1653,2022-09-19 13:01:38,Canada,South,Corporate
CUST-000040,James,Thompson,james.thompson998@example.com,+1-835-967-3532,2024-04-12 08:37:09,Spain,South,Home Office
CUST-000041,Carlos, Jackson  ,carlos.jackson184@example.com,+1-954-540-7745,2022-02-20 09:02:07,Mexico,South,Corporate
CUST-000042,John,Moore,john.moore880@example.com,+1-681-427-4269,2022-03-21 16:45:32,Mexico,East,Corporate
CUST-000043,David,Rodriguez,david.rodriguez676@example.com,+1-397-608-6378,2022-02-18 10:08:37,Spain,North,Home Office
CUST-000044,Laura,Taylor,laura.taylor410@example.com,+1-895-749-6425,2024-11-09 01:00:17,Usa,East,Consumer
CUST-000045,Laura,Smith,laura.smith611@example.com,+1-644-553-6139,2022-08-11 15:53:19,Uk,Central,Consumer
CUST-000046,Camila,Davis,camila.davis46@example.com,+1-925-646-1027,2023-06-06 18:55:46,Spain,Central,Corporate
CUST-000047,Emma,Taylor,emma.taylor72@example.com,+1-880-538-6143,2024-06-02 04:32:14,Germany,East,Consumer
CUST-000048,Diego,Thomas,diego.thomas714@example.com,+1-502-767-3085,2024-04-04 06:59:04,Brazil,West,Corporate
CUST-000049,Carlos,Harris,carlos.harris416@example.com,+1-761-200-5978,2023-09-09 10:26:46,Canada,West,Corporate
CUST-000050,Andres,Thomas,andres.thomas453@example.com,+1-652-891-4501,2024-08-10 18:36:40,Brazil,South,Corporate
CUST-000051,Pedro,Perez,pedro.perez96@example.com,+1-969-440-6085,2023-11-18 08:10:44,Spain,South,Consumer
CUST-000052,Luis,Rodriguez,luis.rodriguez626@example.com,+1-986-274-8461,2024-08-31 15:05:21,Germany,Central,Consumer
CUST-000053,Lucia,Lee,lucia.lee250@example.com,+1-351-871-1090,2024-03-29 03:52:50,Spain,West,Consumer
CUST-000054,Valentina, Martin  ,valentina.martin571@example.com,+1-455-324-8478,2022-04-13 04:51:17,Spain,West,Corporate
CUST-000055,Sebastian,Harris,sebastian.harris973@example.com,+1-973-653-9270,2023-10-12 15:32:13,Spain,Central,Consumer
CUST-000056,Carlos,Lee,carlos.lee266@example.com,+1-969-453-5543,2024-07-10 18:58:47,Brazil,South,Consumer
CUST-000057,Maria,Anderson,maria.anderson279@example.com,+1-543-527-9849,2023-04-26 02:56:01,Canada,South,Consumer
CUST-000058,Sofia,Davis,sofia.davis425@example.com,+1-617-538-9890,2022-05-12 16:57:49,Brazil,North,Consumer
CUST-000059,Diego,Moore,diego.moore878@example.com,+1-983-789-7232,2022-02-10 17:21:58,Usa,East,Consumer
CUST-000060,Lucia,Jackson,lucia.jackson500@example.com,+1-424-479-8140,2023-03-28 17:40:54,Usa,West,Consumer
CUST-000061,Lucia,Brown,lucia.brown942@example.com,+1-330-837-9751,2024-08-15 00:58:54,Brazil,Central,Consumer
